Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1.0,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4.0,Rarely,Comedy,Conversational,,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4.0,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4.0,Never,None,None,,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3.0,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,,leisure time,recommendations,4.0,Rarely,Comedy,Story telling,Both,Shorter,
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
20-35,,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4.0,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3.0,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",,No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",,recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3.0,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5.0,Never,None,None,None,,
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5.0,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
35-60,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4.0,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5.0,Daily,Health and Fitness,Story telling,Both,Both,Satisfied
35-60,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4.0,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4.0,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5.0,Rarely,Comedy,Interview,Both,Shorter,Satisfied
12-20,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3.0,Rarely,Comedy,Story telling,Both,Both,Ok
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5.0,Never,,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4.0,Rarely,Sports,Educational,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5.0,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3.0,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied
20-35,,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,,leisure time,recommendations,4.0,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3.0,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4.0,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Educational,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5.0,Rarely,Sports,,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,,No,None,Music,Melody,Night,,"While Traveling, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3.0,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4.0,Several times a week,Sports,Educational,Both,Longer,Satisfied
20-35,Male,,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",,Playlists,5.0,Several times a week,Comedy,Interview,Well known individuals,Shorter,
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,,Sadness or melancholy,While Traveling,Radio,3.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3.0,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied
12-20,,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting and motivational,,Radio,2.0,Once a week,Health and Fitness,Story telling,,Both,Ok
12-20,Female,6 months to 1 year,,Free (ad-supported),Yes,Duo plan- Rs 149/month,,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3.0,Once a week,Lifestyle and Health,Educational,Both,,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2.0,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2.0,Several times a week,Food and cooking,,unknown Podcasters,Longer,Ok
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),No,None,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling","Playlists, Others",4.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
6-12,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,,Uplifting and motivational,"Study Hours, While Traveling","Playlists, Radio",2.0,Once a week,Lifestyle and Health,Interview,,Both,Ok
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",,Yes,Family Plan-Rs 179/month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2.0,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
35-60,Male,,Computer or laptop,Free (ad-supported),No,None,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3.0,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied
12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3.0,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok
12-20,,1 year to 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,,"While Traveling, leisure time","Playlists, Others",2.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2.0,Once a week,Sports,Story telling,Both,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),,Duo plan- Rs 149/month,Podcast,classical,,Relaxation and stress relief,While Traveling,"Radio, Others",3.0,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,,"Study Hours, Workout session",Radio,2.0,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Morning,Uplifting and motivational,While Traveling,Playlists,3.0,Once a week,Health and Fitness,Educational,Both,Both,Ok
12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4.0,Rarely,Sports,Story telling,Both,Longer,Dissatisfied
35-60,Others,More than 2 years,Wearable devices,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Uplifting and motivational,"Study Hours, Workout session","Playlists, Radio, Others",2.0,Rarely,Health and Fitness,Story telling,Both,,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2.0,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,None,Podcast,classical,Morning,Social gatherings or parties,While Traveling,,2.0,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,None,Music,Melody,Night,Social gatherings or parties,While Traveling,Others,2.0,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok
12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,,Night,,leisure time,Playlists,2.0,Never,None,None,None,None,Ok
35-60,,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,,4.0,Rarely,Comedy,Story telling,,,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,trending songs random,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",recommendations,4.0,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied
35-60,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,,5.0,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",While Traveling,"recommendations, Playlists",5.0,Several times a week,Comedy,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Never,,None,None,None,Ok
35-60,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5.0,Rarely,Food and cooking,Educational,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,,No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Playlists,5.0,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4.0,Rarely,Lifestyle and Health,,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","Playlists, Radio",4.0,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3.0,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4.0,,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Playlists",5.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,classical,Morning,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5.0,Daily,Comedy,Conversational,Well known individuals,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5.0,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,classical,Night,,"Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4.0,Once a week,Health and Fitness,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,5.0,Rarely,Comedy,Story telling,Both,Shorter,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session",Playlists,5.0,Never,None,None,Both,None,Dissatisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,classical,Night,,"Office hours, While Traveling, Workout session",Playlists,5.0,Never,None,None,None,None,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Others,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5.0,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation and stress relief,While Traveling,"recommendations, Radio",,Daily,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Night,Relaxation and stress relief,leisure time,recommendations,2.0,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, leisure time",recommendations,5.0,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Workout session,Others,2.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5.0,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Never,Food and cooking,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,,"While Traveling, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,3.0,,None,Educational,unknown Podcasters,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),,Family Plan-Rs 179/month,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4.0,Daily,None,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Male,,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,"Office hours, Workout session",Others,3.0,Never,None,None,None,None,Very Dissatisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,4.0,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Workout session,recommendations,4.0,Daily,Sports,None,Both,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,4.0,Rarely,None,Interview,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,5.0,Once a week,Comedy,Story telling,Both,Both,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5.0,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Night,Uplifting and motivational,"While Traveling, Workout session",recommendations,4.0,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,2.0,Never,None,None,Well known individuals,Shorter,Satisfied
